Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              100.0000       0.2164         93.6245        57.2973        84.7525        98.2001        70.7812        92.2617        
1              200.0000       0.2593         94.6227        65.3032        87.7280        99.4795        53.3607        89.3401        


Training started at 2019-07-12 13:11:05.126396 

Model name is 12_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              0.0000         0.7507         0.0000         100.0000       40.0000        71.1838        24.0172        61.2980        
1              100.0000       0.2434         94.4121        45.6954        87.1287        96.3887        74.4529        91.5237        
1              200.0000       0.1582         95.0573        58.4046        88.6567        98.1792        72.5729        92.7314        
1              300.0000       0.0566         94.9649        62.1806        88.5714        92.7959        85.1139        91.0835        
1              400.0000       0.0755         95.2085        63.6935        88.9526        92.7593        90.9185        92.3589        
1              500.0000       0.4581         95.5439        67.3716        89.9601        98.7661        71.3228        92.9120        
1              600.0000       1.1282         95.7761        69.3522        90.4825        97.5054        73.9523        92.4944        
1              700.0000       0.0415         95.8549        71.2668        90.8987        99.1095        65.7534        91.9639        
1              800.0000       0.0104         95.9634        73.2014        91.2235        98.6211        58.0084        89.9210        
1              900.0000       0.0089         96.0297        74.0701        91.4428        97.6095        83.0843        94.5372        
1              1000.0000      0.1592         96.0433        74.3973        91.5584        96.3928        82.4440        93.4424        
1              1100.0000      0.0081         96.1058        75.3839        91.8165        96.9300        86.5765        94.6840        
1              1200.0000      0.0098         96.2232        75.7466        91.9983        90.3134        92.5000        90.7675        
1              1300.0000      0.1486         96.2970        76.5776        92.2137        95.5320        86.0416        93.5214        
1              1400.0000      0.0520         96.3237        77.0948        92.3269        94.5279        91.1065        93.7810        
1              1500.0000      0.0418         96.4079        77.6414        92.5383        96.4740        89.2268        94.8871        
1              1600.0000      1.0754         96.4958        77.7505        92.6858        97.6328        82.6087        94.3567        
1              1700.0000      0.0272         96.4807        77.8646        92.6984        95.5779        85.9631        93.5214        
1              1800.0000      0.2749         96.5397        78.1190        92.8096        97.5847        77.6167        93.3860        
1              1900.0000      0.1623         96.5845        78.5380        92.9353        98.1535        82.7282        94.7968        
1              2000.0000      0.0284         96.6713        78.8319        93.0535        94.5558        90.6849        93.7585        
1              2100.0000      0.1309         96.7043        79.3288        93.1556        96.8938        90.0747        95.4515        
1              2200.0000      0.0665         96.7148        79.6317        93.2167        96.8154        87.6125        94.8533        
1              2300.0000      0.0757         96.7513        79.8773        93.2855        97.1903        89.7037        95.5079        
1              2400.0000      0.0451         96.7529        80.2507        93.3528        93.9187        94.5115        94.0406        
1              2500.0000      0.0622         96.7771        80.3960        93.4026        97.3532        89.4142        95.6095        
1              2600.0000      0.0179         96.8176        80.7269        93.4987        94.9116        92.1177        94.3115        
2              0.0000         0.0059         96.8164        80.9558        93.5327        96.7011        89.0349        94.9887        
2              100.0000       0.1863         96.8647        81.1930        93.6258        97.0217        88.2808        95.2370        
2              200.0000       0.0009         96.8751        81.4632        93.6984        99.0832        75.7318        94.1309        
2              300.0000       0.6241         96.9396        81.7779        93.8201        97.5298        85.4398        94.8307        
2              400.0000       0.2011         96.9364        82.0175        93.8653        96.5024        89.5996        95.1016        
2              500.0000       0.0122         96.9680        82.3021        93.9582        96.4887        85.8713        94.1986        
2              600.0000       0.1486         96.9941        82.4730        94.0239        99.0717        78.9559        94.8533        
2              700.0000       0.0202         96.9942        82.7341        94.0649        97.4787        87.3372        95.2822        
2              800.0000       0.0141         96.9986        82.9919        94.1122        95.7281        88.8659        94.2325        
2              900.0000       0.0986         96.9919        83.1506        94.1175        91.8252        94.7288        92.4718        
2              1000.0000      0.0097         97.0201        83.3245        94.1799        96.4593        92.5690        95.6321        
2              1100.0000      0.0072         97.0314        83.5865        94.2283        98.2087        88.6823        96.1851        
2              1200.0000      0.0087         97.0587        83.8241        94.2976        96.9394        90.3105        95.5418        
2              1300.0000      0.3219         97.0817        84.0386        94.3482        96.5139        92.2489        95.6321        
2              1400.0000      0.4406         97.0823        84.2512        94.3839        97.9861        87.8958        95.7562        
2              1500.0000      0.1328         97.0993        84.4488        94.4444        98.4509        83.6839        95.5192        
2              1600.0000      0.0197         97.1150        84.4559        94.4622        98.0837        91.0193        96.6366        
2              1700.0000      0.0110         97.1456        84.5284        94.5089        97.8473        92.7590        96.7607        
2              1800.0000      0.1657         97.1686        84.6780        94.5536        96.3486        94.2672        95.9142        
2              1900.0000      0.0087         97.1638        84.7824        94.5612        97.6974        90.3640        96.1512        
2              2000.0000      0.0013         97.1635        84.8066        94.5706        98.4077        88.5124        96.2980        
2              2100.0000      0.0531         97.1430        84.9646        94.5776        98.3878        88.5411        96.3995        


Training started at 2019-07-12 13:59:58.826713 

Model name is 12_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              0.0000         0.5662         100.0000       0.0000         85.7143        100.0000       0.0000         77.2897        
1              100.0000       0.3776         91.1602        29.2683        76.8034        94.0352        69.3670        88.8425        
1              200.0000       0.5302         92.0956        42.9467        80.9524        96.7770        63.3960        89.3619        
1              300.0000       0.8157         93.5366        52.6767        84.4803        95.4943        79.4191        91.8690        
1              400.0000       0.7758         94.3541        57.6728        86.6049        95.3278        67.8778        89.4410        
1              500.0000       0.7589         94.4263        60.3495        87.1970        95.9263        76.4675        91.7335        
1              600.0000       0.0216         94.8571        63.9456        88.3765        97.9040        76.8715        93.3032        
1              700.0000       0.0621         95.2823        66.7315        89.3010        96.9505        85.8119        94.5567        
1              800.0000       0.0925         95.4176        68.1393        89.6915        96.3868        85.3306        93.9695        
1              900.0000       0.0545         95.3344        68.4692        89.7416        98.6518        67.8590        91.8464        
1              1000.0000      0.5294         95.4251        69.8282        90.1099        98.8138        72.4435        93.2806        
1              1100.0000      0.0076         95.6436        71.5803        90.6449        96.4667        83.7064        93.6985        
1              1200.0000      0.1801         95.5525        72.7170        90.7339        97.2425        85.0216        94.6810        
1              1300.0000      0.0057         95.6183        73.2534        90.9081        99.0920        67.8665        92.3320        
1              1400.0000      0.0049         95.6690        74.3243        91.1594        98.4877        81.6360        94.9746        
1              1500.0000      0.0031         95.7514        74.8875        91.3391        97.4523        76.5446        93.1338        
1              1600.0000      0.5453         95.7985        75.2656        91.4875        97.9196        81.8726        94.5906        
1              1700.0000      0.0128         95.8466        76.0032        91.6520        96.8229        87.4618        94.7487        
1              1800.0000      0.1735         95.9428        76.8886        91.9013        98.1045        86.2507        95.5731        
1              1900.0000      0.9839         95.9672        77.5018        92.0568        98.0750        83.2991        94.8278        
1              2000.0000      0.1447         96.0261        77.8716        92.1896        91.2258        94.1146        91.8577        
1              2100.0000      0.0319         96.0781        78.5372        92.3438        98.3309        80.5598        94.3874        
1              2200.0000      0.0142         96.0731        79.1000        92.4255        94.7551        92.5026        94.2631        
1              2300.0000      0.0008         96.1334        79.6902        92.5747        98.4218        85.7294        95.7199        
1              2400.0000      0.0130         96.1702        79.7294        92.6281        97.2341        87.6154        95.2343        
1              2500.0000      0.0076         96.2230        80.1115        92.7572        97.8736        89.7727        96.1829        
1              2600.0000      0.0874         96.2789        80.2302        92.8324        98.6313        86.5726        96.0248        
1              2700.0000      0.3516         96.3215        80.4380        92.9074        95.6373        90.2770        94.5229        
1              2800.0000      0.1084         96.3655        80.5668        92.9821        96.0594        91.7882        95.1666        
1              2900.0000      0.0346         96.4017        80.8726        93.0714        96.8599        90.3687        95.5280        
1              3000.0000      0.0638         96.4114        81.3134        93.1499        96.7295        90.3400        95.3924        
1              3100.0000      0.0446         96.4007        81.3302        93.1543        99.2145        70.5343        93.2129        
1              3200.0000      0.0091         96.4515        81.5429        93.2432        98.3761        84.2507        95.4489        
1              3300.0000      0.0201         96.4680        81.6723        93.2748        96.7016        88.3103        94.9181        
1              3400.0000      0.0005         96.5065        81.9984        93.3717        96.4741        90.8946        95.2908        
1              3500.0000      0.0000         96.5128        82.1652        93.4304        99.2462        30.7103        84.0994        
1              3600.0000      0.0062         96.5552        82.2305        93.4978        98.5755        84.8501        95.7312        
1              3700.0000      0.0005         96.5670        82.4017        93.5346        97.9084        84.6196        95.1666        
2              0.0000         0.0006         96.5715        82.4543        93.5496        95.5260        92.7455        94.9633        
2              100.0000       0.2992         96.5868        82.6124        93.6015        97.8594        87.4292        95.5731        
2              200.0000       0.0003         96.6490        82.6862        93.6794        98.3966        83.5404        95.1553        
2              300.0000       0.0003         96.6521        82.8271        93.7151        98.7948        76.1273        93.9695        
2              400.0000       0.0727         96.6481        82.8987        93.7219        98.5066        81.1740        94.8052        
2              500.0000       0.1491         96.6816        82.9627        93.7683        98.2125        87.5391        95.9006        
2              600.0000       0.3090         96.7189        83.1550        93.8353        98.2690        86.7024        95.8329        
2              700.0000       0.0043         96.7197        83.3581        93.8676        95.7453        93.7871        95.3360        
2              800.0000       0.0503         96.7049        83.4305        93.8736        95.8568        94.3983        95.5392        
2              900.0000       0.7502         96.7171        83.5402        93.9067        95.3688        92.7918        94.8278        
2              1000.0000      0.1706         96.7553        83.6592        93.9622        95.4453        93.6050        95.0423        
2              1100.0000      0.0393         96.7717        83.7771        93.9951        
