Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
2              1100.0000      0.0201         97.5388        87.0502        95.2840        99.1838        86.6933        96.3657        
2              1200.0000      0.1368         97.5566        87.2967        95.3379        98.1884        89.0814        96.2302        
2              1300.0000      0.4567         97.5978        87.5100        95.4297        99.2205        88.4146        97.0203        
3              0.0000         0.0065         97.6096        87.5492        95.4475        98.6177        89.0862        96.5576        
3              100.0000       0.0070         97.6293        87.5613        95.4730        97.0471        94.3784        96.4898        
3              200.0000       0.1341         97.6482        87.7026        95.5124        98.9920        87.8908        96.4673        
3              300.0000       0.0545         97.6714        87.7301        95.5357        95.0311        95.5033        95.1354        
3              400.0000       0.0382         97.6908        87.8966        95.5917        99.3576        85.3804        96.1851        
3              500.0000       0.0057         97.6971        87.9712        95.5983        97.2760        94.9602        96.7833        
3              600.0000       0.2908         97.7177        88.0996        95.6382        99.0559        84.9114        95.9029        
3              700.0000       0.0112         97.7308        88.2502        95.6758        98.0115        92.3437        96.7833        
3              800.0000       0.0657         97.7451        88.3349        95.7126        98.3847        89.0845        96.2980        
3              900.0000       0.0083         97.7561        88.3434        95.7277        96.4384        92.8315        95.6433        
3              1000.0000      0.2295         97.7687        88.4393        95.7584        99.1852        88.2893        97.0429        
3              1100.0000      0.0019         97.7834        88.4972        95.7861        98.1097        91.2479        96.7381        
3              1200.0000      0.2208         97.8035        88.5543        95.8215        97.9026        92.9481        96.7607        
4              100.0000       0.0448         98.1697        91.6933        96.8317        98.8259        88.4028        96.5144        
4              200.0000       0.0086         97.9307        90.4173        96.3184        98.1663        93.2787        97.1574        
4              300.0000       0.9012         98.2901        91.0011        96.8549        99.2836        86.5407        96.7738        
4              400.0000       0.0241         98.2065        90.8197        96.7082        92.9218        96.2105        93.6266        
4              500.0000       0.0069         98.2226        90.9030        96.7665        97.8606        91.8255        96.5031        
4              600.0000       0.0196         98.1203        90.5619        96.5835        98.6242        85.2146        95.7699        
4              700.0000       0.0007         98.0536        90.4739        96.5478        99.7690        68.5567        92.9385        
4              800.0000       0.0060         97.9404        90.5306        96.4295        98.7994        91.5984        97.2138        
4              900.0000       0.1590         98.0516        90.6832        96.5594        99.0405        88.5228        96.8077        
4              1000.0000      0.0183         98.1560        91.0561        96.7233        98.3082        90.7407        96.6949        
4              1100.0000      0.1152         98.1927        91.0042        96.7363        98.2114        91.0470        96.5595        
4              1200.0000      0.0023         98.2046        91.3206        96.7694        98.8229        91.2900        97.2814        
4              1300.0000      0.1433         98.2273        91.0547        96.7358        95.8924        96.3608        95.9955        
4              1400.0000      0.0100         98.2101        91.1578        96.7261        96.3576        94.6809        95.9842        
4              1500.0000      0.0009         98.2616        91.2876        96.8110        98.5973        90.4615        96.8077        
4              1600.0000      0.0041         98.2932        91.2125        96.8270        97.6734        95.9897        97.3040        
4              1700.0000      0.0010         98.2782        91.2142        96.8097        98.0955        93.1231        97.0107        
5              0.0000         0.0053         98.2951        91.3272        96.8473        98.6231        90.3297        96.9205        
5              100.0000       0.4880         98.2821        91.3572        96.8412        98.9809        90.6217        97.1912        
5              200.0000       0.0271         98.2316        91.3267        96.7782        97.7496        92.8091        96.6723        
5              300.0000       0.1776         98.2319        91.3809        96.7793        98.1769        92.0484        96.8641        
5              400.0000       0.0868         98.2589        91.5159        96.8293        98.2376        92.7529        96.9656        
5              500.0000       0.1030         98.3065        91.7233        96.9131        98.9626        87.9650        96.6949        
5              600.0000       0.1913         98.3045        91.7768        96.9168        98.1213        92.7678        97.0107        
5              700.0000       0.0257         98.3186        91.8898        96.9525        97.7230        94.2614        96.9882        
5              800.0000       0.0407         98.3005        91.9445        96.9466        98.5354        89.6416        96.4918        
5              900.0000       0.0145         98.2681        91.9057        96.9012        98.7507        90.7743        97.1122        
5              1000.0000      0.0780         98.2862        91.9587        96.9312        98.7900        89.8076        96.8415        
5              1100.0000      0.1202         98.2963        91.9052        96.9383        96.9324        94.8823        96.4805        
5              1200.0000      0.0001         98.2894        91.8802        96.9314        99.3337        80.2652        95.1156        
5              1300.0000      0.0025         98.2930        91.8340        96.9249        98.8606        92.0282        97.4394        
5              1400.0000      0.0038         98.2879        91.8388        96.9294        98.8698        88.5867        96.6949        
5              1500.0000      0.0322         98.3136        91.8827        96.9641        97.9963        92.5311        96.8077        
5              1600.0000      0.0003         98.3152        91.8306        96.9593        98.5832        91.8096        97.2025        
5              1700.0000      0.0306         98.3185        91.8642        96.9643        98.2764        94.1671        97.3942        


Training ended at 2019-07-12 12:09:27.797806 




With 4 pooling
Training started at 2019-07-12 12:11:24.172365

Model name is 12_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
1              0.0000         0.7231         53.3333        0.0000         53.3333        95.1590        6.1183         75.6232        
1              100.0000       1.0068         93.3884        47.5410        84.1584        94.5354        63.4791        87.6481        
1              200.0000       1.2370         93.2717        49.2936        83.9801        85.8209        84.1856        85.4710        
1              300.0000       0.1524         92.0535        53.9841        83.5880        98.3652        45.8269        86.7908        
1              400.0000       0.0435         92.9608        55.7649        84.7548        92.0671        80.3590        89.5657        
1              500.0000       0.2204         93.0541        57.7697        85.3493        96.8558        65.5246        90.2538        
1              600.0000       0.0258         93.4291        58.8710        85.8236        93.0929        81.8410        90.5697        
1              700.0000       0.1146         93.6462        60.5379        86.5050        99.5397        54.4171        89.8026        
1              800.0000       0.2263         93.7487        62.7414        86.9330        95.8207        79.3354        92.2391        
1              900.0000       0.0053         94.1589        63.8211        87.5324        98.8133        58.1507        90.2312        
1              1000.0000      0.0164         94.1338        64.0537        87.4126        98.0623        73.6565        92.8370        
1              1100.0000      0.2851         94.1912        65.3867        87.6960        98.3148        69.5652        92.2730        
1              1200.0000      0.1732         94.3980        65.6716        87.9878        97.1062        71.6757        91.7992        
1              1300.0000      0.3719         94.4554        66.0686        88.1322        98.9746        66.8212        91.9346        
1              1400.0000      0.3611         94.6287        66.2240        88.3179        97.9266        62.3958        90.2312        
1              1500.0000      0.0877         94.8158        66.4726        88.5454        96.9869        77.0913        92.8821        
1              1600.0000      0.5475         94.9194        67.0646        88.7987        98.0645        75.5026        93.2544        
1              1700.0000      0.3209         95.0226        67.5996        88.9555        97.0588        76.5682        92.6001        
2              0.0000         0.1587         95.1171        68.1532        89.1573        98.0032        75.5252        93.1754        
2              100.0000       0.1532         95.2522        68.8025        89.4160        98.1878        74.3724        93.0513        
2              200.0000       0.1162         95.3369        69.4869        89.6146        95.4635        88.8512        94.1455        
2              300.0000       0.6759         95.4157        69.8758        89.7909        95.0113        88.5411        93.7056        
2              400.0000       0.0410         95.4638        70.1120        89.9079        98.6155        67.0791        92.0023        
2              500.0000       0.0080         95.5536        70.4509        90.0646        96.7929        76.6971        92.3181        
2              600.0000       1.0258         95.6775        70.9213        90.2698        96.0616        87.5000        94.1455        
2              700.0000       0.3516         95.7537        71.3350        90.4261        92.5018        87.3057        91.3706        
2              800.0000       0.0672         95.7970        71.4320        90.5003        99.0751        54.1388        89.2160        
2              900.0000       0.2748         95.7856        71.5073        90.5090        95.6346        82.3832        92.7242        
2              1000.0000      0.3661         95.8417        71.9038        90.6494        92.9484        87.2317        91.7766        
2              1100.0000      0.9404         95.8894        72.0925        90.7312        96.9849        81.9474        93.7620        
